gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
FOXC1,1691.7438006481289,2.9235592287542507,0.1618015213994999,18.068799375104557,5.612175839431645e-73,7.137667272149884e-71,Upregulated
MFGE8,12095.085948662809,2.2314317764317484,0.1235410234822529,18.06227367666499,6.31664227378529e-73,7.97321733024868e-71,Upregulated
ATL2,4098.399139548097,1.1395099633145473,0.06318961744925337,18.033183445518887,1.0695279527310484e-72,1.3300174274406548e-70,Upregulated
IGF2BP2,466.6494509063577,2.91221690074093,0.16202464209049341,17.973913493445085,3.119145113022904e-72,3.7945078374948194e-70,Upregulated
UBASH3B,512.7082878970047,1.8984889254194066,0.10570456027300111,17.960331328338306,3.984224617952409e-72,4.8120261069197875e-70,Upregulated
B3GNT5,516.3937809997204,2.318476875667723,0.1290956191290593,17.95937686584003,4.0533250531112084e-72,4.8605157851164976e-70,Upregulated
FOXL1,137.50997223589044,2.081247839882866,0.11773919523209771,17.676762914678754,6.33294593455908e-70,6.771815054100499e-68,Upregulated
GFRA3,93.606772073514,3.789558677287352,0.2152424585063846,17.605999780823655,2.2156054142570192e-69,2.2960236848485702e-67,Upregulated
DEK,8848.356106075236,1.2632055880144286,0.0719191609675035,17.564242560966537,4.6283059911952097e-69,4.737804937816169e-67,Upregulated
UGT8,451.427034842963,3.4900268120937765,0.1990104082964497,17.536905943607564,7.48957381586951e-69,7.484224120286747e-67,Upregulated
RIOK1,1675.9213940734762,1.0392836664078908,0.059305371171809104,17.524275556712404,9.35252071281641e-69,9.235889278044816e-67,Upregulated
LPIN1,2252.8200061216116,1.5406052527987297,0.08791142204923585,17.524517484609625,9.312825580790354e-69,9.235889278044816e-67,Upregulated
ANP32E,4992.399290233597,1.520283801153067,0.08692997212496183,17.488603343478122,1.749935320424553e-68,1.6883858712234135e-66,Upregulated
EN1,923.4731259140083,3.4995928744952964,0.20026518668226737,17.474793959309604,2.229495143820909e-68,2.126634345140081e-66,Upregulated
CDKAL1,1318.9150023106695,1.021830875359524,0.058674177742814124,17.415342057940784,6.311059336280466e-68,5.95225079424025e-66,Upregulated
MICALL1,2397.8257717751635,1.2858974709552977,0.07402739109754082,17.370563137379225,1.3786625924012497e-67,1.2858326445128988e-65,Upregulated
PDSS1,328.6507714768923,1.1949685408943616,0.06893679477498697,17.334263143431553,2.5936979673642984e-67,2.405690689287947e-65,Upregulated
CHODL,141.0249587180227,3.2578917823633398,0.18922741246445557,17.21680669800049,1.9865047506616545e-66,1.7645207277305743e-64,Upregulated
PUM3,2317.640419239932,1.0826615962412651,0.06296618001319611,17.19433505437946,2.9279763955054037e-66,2.5870983014602482e-64,Upregulated
S100B,652.5376256337104,3.224606380823893,0.1885792854677935,17.09947289716827,1.4975254818189521e-65,1.2958998860194108e-63,Upregulated
MMP20,23.956184645112312,4.498735336960976,0.2640506744288737,17.0373938513563,4.336287838332634e-65,3.621771155717824e-63,Upregulated
CDK2AP1,9832.81998377099,1.2836387925715549,0.07540236778568551,17.02385256945794,5.465331826623798e-65,4.4757068636761135e-63,Upregulated
